Lat,Lon,cluster
40.7794,-73.9595,3
40.6841,-73.9557,0
40.7607,-73.9663,3
40.7514,-74.0066,3
40.7428,-74.0039,0
40.7324,-74.0076,0
40.7132,-73.9931,0
40.721,-73.9984,0
40.7665,-73.9782,3
40.7366,-73.9855,0
40.753,-73.9781,3
40.7444,-74.0065,0
40.6449,-73.7823,4
40.7498,-73.9784,3
40.7387,-73.9887,0
40.7147,-73.9617,0
40.7489,-73.9714,3
40.7743,-73.9636,3
40.7205,-74.0076,0
40.7563,-73.9929,3
40.7056,-74.0098,0
40.7619,-73.9841,3
40.7851,-73.9708,3
40.731,-73.9786,0
40.7158,-74.0152,0
40.729,-73.9847,0
40.7523,-73.9791,3
40.7603,-73.9739,3
40.737,-73.9891,0
40.7438,-73.9879,3
40.7329,-73.9885,0
40.7186,-73.9977,0
40.7747,-73.9581,3
40.742,-73.9907,0
40.7459,-73.9882,3
40.7312,-73.9993,0
40.7589,-73.9878,3
40.7081,-74.0017,0
40.7386,-73.9832,0
40.7579,-73.989,3
40.6467,-73.7899,4
40.6825,-73.9761,0
40.7552,-73.9925,3
40.729,-73.9903,0
40.7305,-74.0068,0
40.7569,-73.9902,3
40.7257,-73.9976,0
40.7686,-73.9816,3
40.6883,-73.971,0
40.7741,-73.8723,1
40.7808,-73.9583,3
40.7468,-73.9944,3
40.7126,-73.9659,0
40.7625,-73.9868,3
40.6836,-73.9356,0
40.7535,-73.9962,3
40.7128,-74.0091,0
40.7158,-73.9906,0
40.7333,-73.9933,0
40.7608,-73.9908,3
40.7554,-73.9818,3
40.7721,-73.9818,3
40.7467,-73.9842,3
40.7485,-73.9746,3
40.7463,-73.9966,3
40.7626,-73.981,3
40.7133,-74.0093,0
40.7061,-74.0127,0
40.7076,-73.9406,0
40.7078,-74.0083,0
40.771,-73.8659,1
40.7375,-74.0053,0
40.7146,-74.0133,0
40.7708,-73.8663,1
40.8316,-73.9264,1
40.7732,-73.8856,1
40.7739,-73.8724,1
40.8996,-73.855,1
40.6449,-73.7821,4
40.7586,-73.9728,3
40.7558,-73.9851,3
40.7448,-74.005,0
40.7104,-73.9848,0
40.7325,-73.9913,0
40.7435,-73.9795,3
40.6718,-73.976,0
40.8358,-73.9413,1
40.7557,-73.9793,3
40.7223,-73.9575,0
40.7587,-73.974,3
40.7463,-73.9798,3
40.7178,-74.095,0
40.7291,-73.9981,0
40.7274,-73.9922,0
40.7379,-74.0082,0
40.6779,-73.9377,0
40.7639,-73.996,3
40.7777,-73.9554,3
40.7385,-73.9863,0
40.744,-74.0069,0
40.7807,-73.9813,3
40.725,-74.0075,0
40.7055,-73.9327,0
40.7543,-73.9803,3
40.716,-73.9656,0
40.7403,-73.9922,0
40.7811,-73.9544,3
40.7203,-73.9962,0
40.7063,-73.9273,0
40.7028,-74.0122,0
40.7356,-74.0068,0
40.7698,-73.9862,3
40.7352,-74.0099,0
40.7728,-73.8856,1
40.698,-73.9195,0
40.6917,-73.9844,0
40.7278,-73.982,0
40.731,-73.9953,0
40.6815,-73.977,0
40.9093,-74.0335,3
40.7389,-74.0082,0
40.7228,-74.0051,0
40.7332,-74.0007,0
40.7594,-73.9668,3
40.7636,-73.9765,3
40.7558,-73.9922,3
40.734,-73.9931,0
40.7477,-74.0047,0
40.7822,-73.9594,3
40.7699,-73.9917,3
40.6467,-73.7898,4
40.7039,-74.0092,0
40.7301,-74.001,0
40.7818,-73.957,3
40.7577,-73.9757,3
40.7545,-73.9761,3
40.7244,-73.9977,0
40.7671,-73.9565,3
40.6471,-73.7886,4
40.7443,-74.0067,0
40.7382,-74.0076,0
40.7136,-73.9388,0
40.7375,-73.9912,0
40.7585,-73.9815,3
40.7624,-73.986,3
40.6597,-73.9843,0
40.7715,-73.9811,3
40.7512,-74.0079,3
40.7204,-73.9471,0
40.7748,-73.9901,3
40.7059,-74.0093,0
40.7518,-73.9383,3
40.7227,-74.0079,0
40.7261,-73.9873,0
40.778,-73.9554,3
40.7691,-73.9811,3
40.7645,-73.9773,3
40.751,-73.9787,3
40.7209,-74.0006,0
40.714,-74.0065,0
40.7442,-73.9899,3
40.6469,-73.9604,0
40.7298,-73.9586,0
40.7233,-74.0062,0
40.7765,-73.9556,3
40.7322,-74.0016,0
40.763,-73.9856,3
40.7288,-73.8721,1
40.7417,-74.005,0
40.7706,-73.9567,3
40.7326,-73.9746,0
40.7138,-73.9987,0
40.7245,-73.9919,0
40.7629,-73.9246,3
40.7401,-73.9862,0
40.7662,-73.964,3
40.7381,-74.0096,0
40.7615,-73.9823,3
40.7351,-73.9987,0
40.7113,-74.0058,0
40.7596,-73.9777,3
40.7106,-73.9668,0
40.7322,-74.0003,0
40.7219,-74.0041,0
40.7221,-74.004,0
40.7396,-73.9886,0
40.7047,-73.9007,1
40.7805,-73.9601,3
40.7542,-73.9765,3
40.6999,-73.9878,0
40.7543,-73.9956,3
40.7679,-73.8871,1
40.7386,-73.9936,0
40.7613,-73.9868,3
40.7082,-74.0047,0
40.8633,-73.929,1
40.7631,-73.9684,3
40.7432,-74.0084,0
40.7903,-73.9767,3
40.7301,-74.0036,0
